name,title,image_src,reports_to,chart_status
Justin Osofsky,Head of SMB Group and Global Partnerships,https://cdn.theorg.com/5fcdf2c2-4660-43d6-9ebc-0a326287debc_thumb.jpg,Javier Olivan,3
Michelle Klein,"VP, Global Business Marketing",https://cdn.theorg.com/5f6e6d57-01eb-4b7d-9443-c47b4cb507de_thumb.jpg,Alex Schultz,4
Yongyong Kennedy,"Managing Director, Marketing Science",https://cdn.theorg.com/907b274b-f170-4377-b385-7e66d27235ed_thumb.jpg,Alex Schultz,4
Beatriz Bottesi,"(cmo) Head Of Marketing Latam - Meta, Facebook, Instagram &amp; Whatsapp",https://cdn.theorg.com/612bceb6-a9bb-4318-89e6-4b2ab699aa04_thumb.jpg,Alex Schultz,4
Riccardo Scotti di Uccio,"Head Of Marketing, AI And Business Experiences",https://cdn.theorg.com/e3bdca90-e2ed-456d-b29b-d8d065aa8c22_thumb.jpg,Alex Schultz,4
Emmelie de la Cruz,Growth Marketing Manager - Small Business,https://cdn.theorg.com/6e7e8a26-4960-4f3c-bf33-11e509f1b311_thumb.jpg,Michelle Klein,5
Shachar Scott,"Vice President, Marketing - Reality Labs",https://cdn.theorg.com/e8ad4ab7-4028-491c-bc8b-cd66b1bbd28c_thumb.jpg,Michelle Klein,5
Alexandria Sumner,"Head Of Business Strategy, Global Audience Marketing",https://cdn.theorg.com/5e0d20bf-6829-4ea5-81da-6a26cbc6e92c_thumb.jpg,Michelle Klein,5
Amrita Ray Chaku,Head Of Business Marketing,https://cdn.theorg.com/0e1803b4-1545-4135-84aa-9373cd65a545_thumb.jpg,Michelle Klein,5
Sinan Wu,Global Web Marketing Lead,https://cdn.theorg.com/64b5805c-4483-46ac-95a0-d08c074dcb04_thumb.jpg,Michelle Klein,5
Manuela Ruiz Luzio,"Consumer Product Marketing Manager, Whatsapp",https://cdn.theorg.com/461b5c75-588a-4ad6-90f0-119ce3929292_thumb.jpg,Shachar Scott,6
Josh Newman,"Product Marketing Director, Signal Growth",https://cdn.theorg.com/f74fb78c-99cb-43e3-81e6-8836db727595_thumb.jpg,Shachar Scott,6
Aslihan Ulutas,Head Of Marketing,no_match,Shachar Scott,6
Tiffany Lee,"Team Lead, Growth Marketing",no_match,Shachar Scott,6
Carrie Timms,"Director Of International Marketing, EMEA",no_match,Shachar Scott,6
Kerry Antos,"Global Marketing Director, Metaverse (reality Labs)",no_match,Shachar Scott,6
